Type,Scope,Prefix,Tag,Subtag,Suppress-Script,Description,Macrolanguage,Added,Deprecated,Preferred-Value,Comments
language,,,,mtc,,Munit,,7/29/2009,,,
language,,,,mtd,,Mualang,,7/29/2009,,,
language,,,,mte,,Mono (Solomon Islands),,7/29/2009,,,
language,,,,mtf,,Murik (Papua New Guinea),,7/29/2009,,,
language,,,,mtg,,Una,,7/29/2009,,,
language,,,,mth,,Munggui,,7/29/2009,,,
language,,,,mti,,Maiwa (Papua New Guinea),,7/29/2009,,,
language,,,,mtj,,Moskona,,7/29/2009,,,
language,,,,mtk,,Mbe',,7/29/2009,,,
language,,,,mtl,,Montol,,7/29/2009,,,
language,,,,mtm,,Mator,,7/29/2009,,,
language,,,,mtn,,Matagalpa,,7/29/2009,,,
language,,,,mto,,Totontepec Mixe,,7/29/2009,,,
language,,,,mtp,,Wichí Lhamtés Nocten,,7/29/2009,,,
language,,,,mtq,,Muong,,7/29/2009,,,
language,,,,mtr,,Mewari,mwr,7/29/2009,,,
language,,,,mts,,Yora,,7/29/2009,,,
language,,,,mtt,,Mota,,7/29/2009,,,
language,,,,mtu,,Tututepec Mixtec,,7/29/2009,,,
language,,,,mtv,,Asaro'o,,7/29/2009,,,
language,,,,mtw,,Southern Binukidnon,,7/29/2009,,,
language,,,,mtx,,Tidaá Mixtec,,7/29/2009,,,
language,,,,mty,,Nabi,,7/29/2009,,,
language,,,,mua,,Mundang,,7/29/2009,,,
language,,,,mub,,Mubi,,7/29/2009,,,
language,,,,muc,,Ajumbu,,7/29/2009,,,
language,,,,mud,,Mednyj Aleut,,7/29/2009,,,
language,,,,mue,,Media Lengua,,7/29/2009,,,
language,,,,mug,,Musgu,,7/29/2009,,,
language,,,,muh,,Mündü,,7/29/2009,,,
language,,,,mui,,Musi,ms,7/29/2009,,,
language,,,,muj,,Mabire,,7/29/2009,,,
language,,,,muk,,Mugom,,7/29/2009,,,
language,special,,,mul,,Multiple languages,,10/16/2005,,,
language,,,,mum,,Maiwala,,7/29/2009,,,
language,collection,,,mun,,Munda languages,,10/16/2005,,,
language,,,,muo,,Nyong,,7/29/2009,,,
language,,,,mup,,Malvi,raj,7/29/2009,,,
language,,,,muq,,Eastern Xiangxi Miao,hmn,7/29/2009,,,
language,,,,mur,,Murle,,7/29/2009,,,
language,,,,mus,,Creek,,10/16/2005,,,
language,,,,mut,,Western Muria,,7/29/2009,,,
language,,,,muu,,Yaaku,,7/29/2009,,,
language,,,,muv,,Muthuvan,,7/29/2009,,,
language,,,,mux,,Bo-Ung,,7/29/2009,,,
language,,,,muy,,Muyang,,7/29/2009,,,
language,,,,muz,,Mursi,,7/29/2009,,,
language,,,,mva,,Manam,,7/29/2009,,,
language,,,,mvb,,Mattole,,7/29/2009,,,
language,,,,mvd,,Mamboru,,7/29/2009,,,
language,,,,mve,,Marwari (Pakistan),mwr,7/29/2009,,,
language,,,,mvf,,Peripheral Mongolian,mn,7/29/2009,,,
language,,,,mvg,,Yucuañe Mixtec,,7/29/2009,,,
language,,,,mvh,,Mulgi,,7/29/2009,,,
language,,,,mvi,,Miyako,,7/29/2009,,,
language,,,,mvk,,Mekmek,,7/29/2009,,,
language,,,,mvl,,Mbara (Australia),,7/29/2009,,,
language,,,,mvm,,Muya,,7/29/2009,,,
language,,,,mvn,,Minaveha,,7/29/2009,,,
language,,,,mvo,,Marovo,,7/29/2009,,,
language,,,,mvp,,Duri,,7/29/2009,,,
language,,,,mvq,,Moere,,7/29/2009,,,
language,,,,mvr,,Marau,,7/29/2009,,,
language,,,,mvs,,Massep,,7/29/2009,,,
language,,,,mvt,,Mpotovoro,,7/29/2009,,,
language,,,,mvu,,Marfa,,7/29/2009,,,
language,,,,mvv,,Tagal Murut,,7/29/2009,,,
language,,,,mvw,,Machinga,,7/29/2009,,,
language,,,,mvx,,Meoswar,,7/29/2009,,,
language,,,,mvy,,Indus Kohistani,,7/29/2009,,,
language,,,,mvz,,Mesqan,,7/29/2009,,,
language,,,,mwa,,Mwatebu,,7/29/2009,,,
language,,,,mwb,,Juwal,,7/29/2009,,,
language,,,,mwc,,Are,,7/29/2009,,,
language,,,,mwd,,Mudbura,,7/29/2009,2013-09-10,,"see dmw, xrq"
language,,,,mwe,,Mwera (Chimwera),,7/29/2009,,,
language,,,,mwf,,Murrinh-Patha,,7/29/2009,,,
language,,,,mwg,,Aiklep,,7/29/2009,,,
language,,,,mwh,,Mouk-Aria,,7/29/2009,,,
language,,,,mwi,,"Labo, Ninde",,7/29/2009,,,
language,,,,mwj,,Maligo,,7/29/2009,2015-02-12,vaj,
language,,,,mwk,,Kita Maninkakan,man,7/29/2009,,,
language,,,,mwl,,Mirandese,,10/16/2005,,,
language,,,,mwm,,Sar,,7/29/2009,,,
language,,,,mwn,,Nyamwanga,,7/29/2009,,,
language,,,,mwo,,Central Maewo,,7/29/2009,,,
language,,,,mwp,,Kala Lagaw Ya,,7/29/2009,,,
language,,,,mwq,,Mün Chin,,7/29/2009,,,
language,macrolanguage,,,mwr,,Marwari,,10/16/2005,,,
language,,,,mws,,Mwimbi-Muthambi,,7/29/2009,,,
language,,,,mwt,,Moken,,7/29/2009,,,
language,,,,mwu,,Mittu,,7/29/2009,,,
language,,,,mwv,,Mentawai,,7/29/2009,,,
language,,,,mww,,Hmong Daw,hmn,7/29/2009,,,
language,,,,mwx,,Mediak,,7/29/2009,,,
language,,,,mwy,,Mosiro,,7/29/2009,,,
language,,,,mwz,,Moingi,,7/29/2009,,,
language,,,,mxa,,Northwest Oaxaca Mixtec,,7/29/2009,,,
language,,,,mxb,,Tezoatlán Mixtec,,7/29/2009,,,
language,,,,mxc,,Manyika,,7/29/2009,,,
language,,,,mxd,,Modang,,7/29/2009,,,
language,,,,mxe,,Mele-Fila,,7/29/2009,,,
language,,,,mxf,,Malgbe,,7/29/2009,,,
language,,,,mxg,,Mbangala,,7/29/2009,,,
language,,,,mxh,,Mvuba,,7/29/2009,,,
language,,,,mxi,,Mozarabic,,7/29/2009,,,
language,,,,mxj,,"Miju-Mishmi, Geman Deng",,7/29/2009,,,
language,,,,mxk,,Monumbo,,7/29/2009,,,
language,,,,mxl,,Maxi Gbe,,7/29/2009,,,
language,,,,mxm,,Meramera,,7/29/2009,,,
language,,,,mxn,,Moi (Indonesia),,7/29/2009,,,
language,,,,mxo,,Mbowe,,7/29/2009,,,
language,,,,mxp,,Tlahuitoltepec Mixe,,7/29/2009,,,
language,,,,mxq,,Juquila Mixe,,7/29/2009,,,
language,,,,mxr,,Murik (Malaysia),,7/29/2009,,,
language,,,,mxs,,Huitepec Mixtec,,7/29/2009,,,
language,,,,mxt,,Jamiltepec Mixtec,,7/29/2009,,,
language,,,,mxu,,Mada (Cameroon),,7/29/2009,,,
language,,,,mxv,,Metlatónoc Mixtec,,7/29/2009,,,
language,,,,mxw,,Namo,,7/29/2009,,,
language,,,,mxx,,"Mahou, Mawukakan",,7/29/2009,,,
language,,,,mxy,,Southeastern Nochixtlán Mixtec,,7/29/2009,,,
language,,,,mxz,,Central Masela,,7/29/2009,,,
language,,,,myb,,Mbay,,7/29/2009,,,
language,,,,myc,,Mayeka,,7/29/2009,,,
language,,,,myd,,Maramba,,7/29/2009,,,
language,,,,mye,,Myene,,7/29/2009,,,
language,,,,myf,,Bambassi,,7/29/2009,,,
language,,,,myg,,Manta,,7/29/2009,,,
language,,,,myh,,Makah,,7/29/2009,,,
language,,,,myi,,Mina (India),,7/29/2009,,,
language,,,,myj,,Mangayat,,7/29/2009,,,
language,,,,myk,,Mamara Senoufo,,7/29/2009,,,
language,,,,myl,,Moma,,7/29/2009,,,
language,,,,mym,,Me'en,,7/29/2009,,,
language,collection,,,myn,,Mayan languages,,10/16/2005,,,
language,,,,myo,,Anfillo,,7/29/2009,,,
language,,,,myp,,Pirahã,,7/29/2009,,,
language,,,,myq,,Forest Maninka,man,7/29/2009,9/10/2013,,
language,,,,myr,,Muniche,,7/29/2009,,,
language,,,,mys,,Mesmes,,7/29/2009,,,
language,,,,myt,,Sangab Mandaya,,7/29/2009,2010-03-11,mry,
language,,,,myu,,Mundurukú,,7/29/2009,,,
language,,,,myv,,Erzya,,10/16/2005,,,
language,,,,myw,,Muyuw,,7/29/2009,,,
language,,,,myx,,Masaaba,,7/29/2009,,,
language,,,,myy,,Macuna,,7/29/2009,,,
language,,,,myz,,Classical Mandaic,,7/29/2009,,,
language,,,,mza,,Santa María Zacatepec Mixtec,,7/29/2009,,,
language,,,,mzb,,Tumzabt,,7/29/2009,,,
language,,,,mzc,,Madagascar Sign Language,,7/29/2009,,,
language,,,,mzd,,Malimba,,7/29/2009,,,
language,,,,mze,,Morawa,,7/29/2009,,,
language,,,,mzg,,Monastic Sign Language,,7/29/2009,,,
language,,,,mzh,,Wichí Lhamtés Güisnay,,7/29/2009,,,
language,,,,mzi,,Ixcatlán Mazatec,,7/29/2009,,,
language,,,,mzj,,Manya,,7/29/2009,,,
language,,,,mzk,,Nigeria Mambila,,7/29/2009,,,
language,,,,mzl,,Mazatlán Mixe,,7/29/2009,,,
language,,,,mzm,,Mumuye,,7/29/2009,,,
language,,,,mzn,,Mazanderani,,7/29/2009,,,
language,,,,mzo,,Matipuhy,,7/29/2009,,,
language,,,,mzp,,Movima,,7/29/2009,,,
language,,,,mzq,,Mori Atas,,7/29/2009,,,
language,,,,mzr,,Marúbo,,7/29/2009,,,
language,,,,mzs,,Macanese,,7/29/2009,,,
language,,,,mzt,,Mintil,,7/29/2009,,,
language,,,,mzu,,Inapang,,7/29/2009,,,
language,,,,mzv,,Manza,,7/29/2009,,,
language,,,,mzw,,Deg,,7/29/2009,,,
language,,,,mzx,,Mawayana,,7/29/2009,,,
language,,,,mzy,,Mozambican Sign Language,,7/29/2009,,,
language,,,,mzz,,Maiadomu,,7/29/2009,,,
language,,,,naa,,Namla,,7/29/2009,,,
language,,,,nab,,Southern Nambikuára,,7/29/2009,,,
language,,,,nac,,Narak,,7/29/2009,,,
language,,,,nad,,Nijadali,,7/29/2009,2016-05-30,xny,
language,,,,nae,,Naka'ela,,7/29/2009,,,
language,,,,naf,,Nabak,,7/29/2009,,,
language,,,,nag,,Naga Pidgin,,7/29/2009,,,
language,collection,,,nah,,Nahuatl languages,,10/16/2005,,,
language,collection,,,nai,,North American Indian languages,,10/16/2005,,,
language,,,,naj,,Nalu,,7/29/2009,,,
language,,,,nak,,Nakanai,,7/29/2009,,,
language,,,,nal,,Nalik,,7/29/2009,,,
language,,,,nam,,Ngan'gityemerri,,7/29/2009,,,
language,,,,nan,,Min Nan Chinese,zh,7/29/2009,,,
language,,,,nao,,Naaba,,7/29/2009,,,
language,,,,nap,,Neapolitan,,10/16/2005,,,
language,,,,naq,,"Khoekhoe, Nama (Namibia)",,7/29/2009,,,
language,,,,nar,,Iguta,,7/29/2009,,,
language,,,,nas,,Naasioi,,7/29/2009,,,
language,,,,nat,,"Ca̱hungwa̱rya̱, Hungworo",,7/29/2009,,,
language,,,,naw,,Nawuri,,7/29/2009,,,
language,,,,nax,,Nakwi,,7/29/2009,,,
language,,,,nay,,Narrinyeri,,7/29/2009,,,
language,,,,naz,,Coatepec Nahuatl,,7/29/2009,,,
language,,,,nba,,Nyemba,,7/29/2009,,,
language,,,,nbb,,Ndoe,,7/29/2009,,,
language,,,,nbc,,Chang Naga,,7/29/2009,,,
language,,,,nbd,,Ngbinda,,7/29/2009,,,
language,,,,nbe,,Konyak Naga,,7/29/2009,,,
language,,,,nbf,,Naxi,,7/29/2009,2011-08-16,,"see nru, nxq"
language,,,,nbg,,Nagarchal,,7/29/2009,,,
language,,,,nbh,,Ngamo,,7/29/2009,,,
language,,,,nbi,,Mao Naga,,7/29/2009,,,
language,,,,nbj,,Ngarinman,,7/29/2009,,,
language,,,,nbk,,Nake,,7/29/2009,,,
language,,,,nbm,,Ngbaka Ma'bo,,7/29/2009,,,
language,,,,nbn,,Kuri,,7/29/2009,,,
language,,,,nbo,,Nkukoli,,7/29/2009,,,
language,,,,nbp,,Nnam,,7/29/2009,,,
language,,,,nbq,,Nggem,,7/29/2009,,,
language,,,,nbr,,Numana-Nunku-Gbantu-Numbu,,7/29/2009,,,
language,,,,nbs,,Namibian Sign Language,,7/29/2009,,,
language,,,,nbt,,Na,,7/29/2009,,,
language,,,,nbu,,Rongmei Naga,,7/29/2009,,,
language,,,,nbv,,Ngamambo,,7/29/2009,,,
language,,,,nbw,,Southern Ngbandi,,7/29/2009,,,
language,,,,nbx,,Ngura,,7/29/2009,2013-09-10,,"see ekc, gll, jbi, xpt, xwk"
language,,,,nby,,Ningera,,7/29/2009,,,
language,,,,nca,,Iyo,,7/29/2009,,,
language,,,,ncb,,Central Nicobarese,,7/29/2009,,,
language,,,,ncc,,Ponam,,7/29/2009,,,
language,,,,ncd,,Nachering,,7/29/2009,,,
language,,,,nce,,Yale,,7/29/2009,,,
language,,,,ncf,,Notsi,,7/29/2009,,,
language,,,,ncg,,Nisga'a,,7/29/2009,,,
language,,,,nch,,Central Huasteca Nahuatl,,7/29/2009,,,
language,,,,nci,,Classical Nahuatl,,7/29/2009,,,
language,,,,ncj,,Northern Puebla Nahuatl,,7/29/2009,,,
language,,,,nck,,Nakara,,7/29/2009,,,
language,,,,ncl,,Michoacán Nahuatl,,7/29/2009,,,
language,,,,ncm,,Nambo,,7/29/2009,,,
language,,,,ncn,,Nauna,,7/29/2009,,,
language,,,,nco,,Sibe,,7/29/2009,,,
language,,,,ncp,,Ndaktup,,7/29/2009,,,
language,,,,ncq,,Northern Katang,,2/23/2017,,,
language,,,,ncr,,Ncane,,7/29/2009,,,
language,,,,ncs,,Nicaraguan Sign Language,,7/29/2009,,,
language,,,,nct,,Chothe Naga,,7/29/2009,,,
language,,,,ncu,,Chumburung,,7/29/2009,,,
language,,,,ncx,,Central Puebla Nahuatl,,7/29/2009,,,
language,,,,ncz,,Natchez,,7/29/2009,,,
language,,,,nda,,Ndasa,,7/29/2009,,,
language,,,,ndb,,Kenswei Nsei,,7/29/2009,,,
language,,,,ndc,,Ndau,,7/29/2009,,,
language,,,,ndd,,Nde-Nsele-Nta,,7/29/2009,,,
language,,,,ndf,,Nadruvian,,7/29/2009,,,
language,,,,ndg,,Ndengereko,,7/29/2009,,,
language,,,,ndh,,Ndali,,7/29/2009,,,
language,,,,ndi,,Samba Leko,,7/29/2009,,,
language,,,,ndj,,Ndamba,,7/29/2009,,,
language,,,,ndk,,Ndaka,,7/29/2009,,,
language,,,,ndl,,Ndolo,,7/29/2009,,,
language,,,,ndm,,Ndam,,7/29/2009,,,
language,,,,ndn,,Ngundi,,7/29/2009,,,
language,,,,ndp,,Ndo,,7/29/2009,,,
language,,,,ndq,,Ndombe,,7/29/2009,,,
language,,,,ndr,,Ndoola,,7/29/2009,,,
language,,,,nds,Latn,"Low German, Low Saxon",,10/16/2005,,,
language,,,,ndt,,Ndunga,,7/29/2009,,,
language,,,,ndu,,Dugun,,7/29/2009,,,
language,,,,ndv,,Ndut,,7/29/2009,,,
language,,,,ndw,,Ndobo,,7/29/2009,,,
language,,,,ndx,,Nduga,,7/29/2009,,,
language,,,,ndy,,Lutos,,7/29/2009,,,
language,,,,ndz,,Ndogo,,7/29/2009,,,
language,,,,nea,,Eastern Ngad'a,,7/29/2009,,,
language,,,,neb,,Toura (Côte d'Ivoire),,7/29/2009,,,
language,,,,nec,,Nedebang,,7/29/2009,,,
language,,,,ned,,Nde-Gbite,,7/29/2009,,,
language,,,,nee,,Nêlêmwa-Nixumwak,,7/29/2009,,,
language,,,,nef,,Nefamese,,7/29/2009,,,
language,,,,neg,,Negidal,,7/29/2009,,,
language,,,,neh,,Nyenkha,,7/29/2009,,,
language,,,,nei,,Neo-Hittite,,7/29/2009,,,
language,,,,nej,,Neko,,7/29/2009,,,
language,,,,nek,,Neku,,7/29/2009,,,
language,,,,nem,,Nemi,,7/29/2009,,,
language,,,,nen,,Nengone,,7/29/2009,,,
language,,,,neo,,Ná-Meo,,7/29/2009,,,
language,,,,neq,,North Central Mixe,,7/29/2009,,,
language,,,,ner,,Yahadian,,7/29/2009,,,
language,,,,nes,,Bhoti Kinnauri,,7/29/2009,,,
language,,,,net,,Nete,,7/29/2009,,,
language,,,,neu,,Neo,,8/12/2012,,,
language,,,,nev,,Nyaheun,,7/29/2009,,,
language,,,,new,,"Newari, Nepal Bhasa",,10/16/2005,,,
language,,,,nex,,Neme,,7/29/2009,,,
language,,,,ney,,Neyo,,7/29/2009,,,
language,,,,nez,,Nez Perce,,7/29/2009,,,
language,,,,nfa,,Dhao,,7/29/2009,,,
language,,,,nfd,,Ahwai,,7/29/2009,,,
language,,,,nfl,,"Ayiwo, Äiwoo",,7/29/2009,,,
language,,,,nfr,,Nafaanra,,7/29/2009,,,
language,,,,nfu,,Mfumte,,7/29/2009,,,
language,,,,nga,,Ngbaka,,7/29/2009,,,
language,,,,ngb,,Northern Ngbandi,,7/29/2009,,,
language,,,,ngc,,Ngombe (Democratic Republic of Congo),,7/29/2009,,,
language,,,,ngd,,Ngando (Central African Republic),,7/29/2009,,,
language,,,,nge,,Ngemba,,7/29/2009,,,
language,collection,,,ngf,,Trans-New Guinea languages,,7/29/2009,,,
language,,,,ngg,,Ngbaka Manza,,7/29/2009,,,
language,,,,ngh,,"N/u, Nǀu",,7/29/2009,,,
language,,,,ngi,,Ngizim,,7/29/2009,,,
language,,,,ngj,,Ngie,,7/29/2009,,,
language,,,,ngk,,Dalabon,,7/29/2009,,,
language,,,,ngl,,Lomwe,,7/29/2009,,,
language,,,,ngm,,Ngatik Men's Creole,,7/29/2009,,,
language,,,,ngn,,Ngwo,,7/29/2009,,,
language,,,,ngo,,Ngoni,,7/29/2009,,,
language,,,,ngp,,Ngulu,,7/29/2009,,,
language,,,,ngq,,"Ngurimi, Ngoreme",,7/29/2009,,,
language,,,,ngr,,Engdewu,,7/29/2009,,,
language,,,,ngs,,Gvoko,,7/29/2009,,,
language,,,,ngt,,"Kriang, Ngeq",,7/29/2009,,,
language,,,,ngu,,Guerrero Nahuatl,,7/29/2009,,,
language,,,,ngv,,Nagumi,,7/29/2009,,,
language,,,,ngw,,Ngwaba,,7/29/2009,,,
language,,,,ngx,,Nggwahyi,,7/29/2009,,,
language,,,,ngy,,Tibea,,7/29/2009,,,
language,,,,ngz,,Ngungwel,,7/29/2009,,,
language,,,,nha,,Nhanda,,7/29/2009,,,
language,,,,nhb,,Beng,,7/29/2009,,,
language,,,,nhc,,Tabasco Nahuatl,,7/29/2009,,,
language,,,,nhd,,"Chiripá, Ava Guaraní",gn,7/29/2009,,,
language,,,,nhe,,Eastern Huasteca Nahuatl,,7/29/2009,,,
language,,,,nhf,,Nhuwala,,7/29/2009,,,
language,,,,nhg,,Tetelcingo Nahuatl,,7/29/2009,,,
language,,,,nhh,,Nahari,,7/29/2009,,,
language,,,,nhi,,Zacatlán-Ahuacatlán-Tepetzintla Nahuatl,,7/29/2009,,,
language,,,,nhk,,Isthmus-Cosoleacaque Nahuatl,,7/29/2009,,,
language,,,,nhm,,Morelos Nahuatl,,7/29/2009,,,
language,,,,nhn,,Central Nahuatl,,7/29/2009,,,
language,,,,nho,,Takuu,,7/29/2009,,,
language,,,,nhp,,Isthmus-Pajapan Nahuatl,,7/29/2009,,,
language,,,,nhq,,Huaxcaleca Nahuatl,,7/29/2009,,,
language,,,,nhr,,Naro,,7/29/2009,,,
language,,,,nht,,Ometepec Nahuatl,,7/29/2009,,,
language,,,,nhu,,Noone,,7/29/2009,,,
language,,,,nhv,,Temascaltepec Nahuatl,,7/29/2009,,,
language,,,,nhw,,Western Huasteca Nahuatl,,7/29/2009,,,
language,,,,nhx,,Isthmus-Mecayapan Nahuatl,,7/29/2009,,,
language,,,,nhy,,Northern Oaxaca Nahuatl,,7/29/2009,,,
language,,,,nhz,,Santa María La Alta Nahuatl,,7/29/2009,,,
language,,,,nia,,Nias,,10/16/2005,,,
language,,,,nib,,Nakame,,7/29/2009,,,
language,collection,,,nic,,Niger-Kordofanian languages,,10/16/2005,,,
language,,,,nid,,Ngandi,,7/29/2009,,,
language,,,,nie,,Niellim,,7/29/2009,,,
language,,,,nif,,Nek,,7/29/2009,,,
language,,,,nig,,Ngalakan,,7/29/2009,,,
language,,,,nih,,Nyiha (Tanzania),,7/29/2009,,,
language,,,,nii,,Nii,,7/29/2009,,,
language,,,,nij,,Ngaju,,7/29/2009,,,
language,,,,nik,,Southern Nicobarese,,7/29/2009,,,
language,,,,nil,,Nila,,7/29/2009,,,
language,,,,nim,,Nilamba,,7/29/2009,,,
language,,,,nin,,Ninzo,,7/29/2009,,,
language,,,,nio,,Nganasan,,7/29/2009,,,
language,,,,niq,,Nandi,kln,7/29/2009,,,
language,,,,nir,,Nimboran,,7/29/2009,,,
language,,,,nis,,Nimi,,7/29/2009,,,
language,,,,nit,,Southeastern Kolami,,7/29/2009,,,
language,,,,niu,Latn,Niuean,,10/16/2005,,,
language,,,,niv,,Gilyak,,7/29/2009,,,
language,,,,niw,,Nimo,,7/29/2009,,,
language,,,,nix,,Hema,,7/29/2009,,,
language,,,,niy,,Ngiti,,7/29/2009,,,
language,,,,niz,,Ningil,,7/29/2009,,,
language,,,,nja,,Nzanyi,,7/29/2009,,,
language,,,,njb,,Nocte Naga,,7/29/2009,,,
language,,,,njd,,Ndonde Hamba,,7/29/2009,,,
language,,,,njh,,Lotha Naga,,7/29/2009,,,
language,,,,nji,,Gudanji,,7/29/2009,,,
language,,,,njj,,Njen,,7/29/2009,,,
language,,,,njl,,Njalgulgule,,7/29/2009,,,
language,,,,njm,,Angami Naga,,7/29/2009,,,
language,,,,njn,,Liangmai Naga,,7/29/2009,,,
language,,,,njo,,Ao Naga,,7/29/2009,,,
language,,,,njr,,Njerep,,7/29/2009,,,
language,,,,njs,,Nisa,,7/29/2009,,,
language,,,,njt,,Ndyuka-Trio Pidgin,,7/29/2009,,,
language,,,,nju,,Ngadjunmaya,,7/29/2009,,,
language,,,,njx,,Kunyi,,7/29/2009,,,
language,,,,njy,,Njyem,,7/29/2009,,,
language,,,,njz,,Nyishi,,8/12/2012,,,
language,,,,nka,,Nkoya,,7/29/2009,,,
language,,,,nkb,,Khoibu Naga,,7/29/2009,,,
language,,,,nkc,,Nkongho,,7/29/2009,,,
language,,,,nkd,,Koireng,,7/29/2009,,,
language,,,,nke,,Duke,,7/29/2009,,,
language,,,,nkf,,Inpui Naga,,7/29/2009,,,
language,,,,nkg,,Nekgini,,7/29/2009,,,
language,,,,nkh,,Khezha Naga,,7/29/2009,,,
language,,,,nki,,Thangal Naga,,7/29/2009,,,
language,,,,nkj,,Nakai,,7/29/2009,,,
language,,,,nkk,,Nokuku,,7/29/2009,,,
language,,,,nkm,,Namat,,7/29/2009,,,
language,,,,nkn,,Nkangala,,7/29/2009,,,
language,,,,nko,,Nkonya,,7/29/2009,,,
language,,,,nkp,,Niuatoputapu,,7/29/2009,,,
language,,,,nkq,,Nkami,,4/16/2010,,,
language,,,,nkr,,Nukuoro,,7/29/2009,,,
language,,,,nks,,North Asmat,,7/29/2009,,,
language,,,,nkt,,Nyika (Tanzania),,7/29/2009,,,
language,,,,nku,,Bouna Kulango,,7/29/2009,,,
language,,,,nkv,,Nyika (Malawi and Zambia),,7/29/2009,,,
language,,,,nkw,,Nkutu,,7/29/2009,,,
language,,,,nkx,,Nkoroo,,7/29/2009,,,
language,,,,nkz,,Nkari,,7/29/2009,,,
language,,,,nla,,Ngombale,,7/29/2009,,,
language,,,,nlc,,Nalca,,7/29/2009,,,
language,,,,nle,,East Nyala,luy,7/29/2009,,,
language,,,,nlg,,Gela,,7/29/2009,,,
language,,,,nli,,Grangali,,7/29/2009,,,
language,,,,nlj,,Nyali,,7/29/2009,,,
language,,,,nlk,,Ninia Yali,,7/29/2009,,,
language,,,,nll,,Nihali,,7/29/2009,,,
language,,,,nln,,Durango Nahuatl,,7/29/2009,2012-08-12,,"see azd, azn"
language,,,,nlo,,Ngul,,7/29/2009,,,
language,,,,nlq,,Lao Naga,,9/10/2013,,,
language,,,,nlr,,Ngarla,,7/29/2009,2013-09-10,,"see nrk, ywg"
language,,,,nlu,,Nchumbulu,,7/29/2009,,,
language,,,,nlv,,Orizaba Nahuatl,,7/29/2009,,,
language,,,,nlw,,Walangama,,9/10/2013,,,
language,,,,nlx,,Nahali,,7/29/2009,,,
language,,,,nly,,Nyamal,,7/29/2009,,,
language,,,,nlz,,Nalögo,,7/29/2009,,,
language,,,,nma,,Maram Naga,,7/29/2009,,,
language,,,,nmb,,"Big Nambas, V'ënen Taut",,7/29/2009,,,
language,,,,nmc,,Ngam,,7/29/2009,,,
language,,,,nmd,,Ndumu,,7/29/2009,,,
language,,,,nme,,Mzieme Naga,,7/29/2009,,,
language,,,,nmf,,Tangkhul Naga (India),,7/29/2009,,,see ntx
language,,,,nmg,,Kwasio,,7/29/2009,,,
language,,,,nmh,,Monsang Naga,,7/29/2009,,,
language,,,,nmi,,Nyam,,7/29/2009,,,
language,,,,nmj,,Ngombe (Central African Republic),,7/29/2009,,,
language,,,,nmk,,Namakura,,7/29/2009,,,
language,,,,nml,,Ndemli,,7/29/2009,,,
language,,,,nmm,,Manangba,,7/29/2009,,,
language,,,,nmn,,"!Xóõ, ǃXóõ",,7/29/2009,,,
language,,,,nmo,,Moyon Naga,,7/29/2009,,,
language,,,,nmp,,Nimanbur,,7/29/2009,,,
language,,,,nmq,,Nambya,,7/29/2009,,,
language,,,,nmr,,Nimbari,,7/29/2009,,,
language,,,,nms,,Letemboi,,7/29/2009,,,
language,,,,nmt,,Namonuito,,7/29/2009,,,
language,,,,nmu,,Northeast Maidu,,7/29/2009,,,
language,,,,nmv,,Ngamini,,7/29/2009,,,
language,,,,nmw,,"Nimoa, Rifao",,7/29/2009,,,
language,,,,nmx,,Nama (Papua New Guinea),,7/29/2009,,,
language,,,,nmy,,Namuyi,,7/29/2009,,,
language,,,,nmz,,Nawdm,,7/29/2009,,,
language,,,,nna,,Nyangumarta,,7/29/2009,,,
language,,,,nnb,,Nande,,7/29/2009,,,
language,,,,nnc,,Nancere,,7/29/2009,,,
language,,,,nnd,,West Ambae,,7/29/2009,,,
language,,,,nne,,Ngandyera,,7/29/2009,,,
language,,,,nnf,,Ngaing,,7/29/2009,,,
language,,,,nng,,Maring Naga,,7/29/2009,,,
language,,,,nnh,,Ngiemboon,,7/29/2009,,,
language,,,,nni,,North Nuaulu,,7/29/2009,,,
language,,,,nnj,,Nyangatom,,7/29/2009,,,
language,,,,nnk,,Nankina,,7/29/2009,,,
language,,,,nnl,,Northern Rengma Naga,,7/29/2009,,,
language,,,,nnm,,Namia,,7/29/2009,,,
language,,,,nnn,,Ngete,,7/29/2009,,,
language,,,,nnp,,Wancho Naga,,7/29/2009,,,
language,,,,nnq,,Ngindo,,7/29/2009,,,
language,,,,nnr,,Narungga,,7/29/2009,,,
language,,,,nns,,Ningye,,7/29/2009,,,
language,,,,nnt,,Nanticoke,,7/29/2009,,,
language,,,,nnu,,Dwang,,7/29/2009,,,
language,,,,nnv,,Nugunu (Australia),,7/29/2009,,,
language,,,,nnw,,Southern Nuni,,7/29/2009,,,
language,,,,nnx,,Ngong,,7/29/2009,2015-02-12,ngv,
language,,,,nny,,Nyangga,,7/29/2009,,,
language,,,,nnz,,Nda'nda',,7/29/2009,,,
language,,,,noa,,Woun Meu,,7/29/2009,,,
language,,,,noc,,Nuk,,7/29/2009,,,
language,,,,nod,,Northern Thai,,7/29/2009,,,
language,,,,noe,,Nimadi,,7/29/2009,,,
language,,,,nof,,Nomane,,7/29/2009,,,
language,,,,nog,,Nogai,,10/16/2005,,,
language,,,,noh,,Nomu,,7/29/2009,,,
language,,,,noi,,Noiri,,7/29/2009,,,
language,,,,noj,,Nonuya,,3/11/2010,,,
