a	b	c	d		e	f	g
/wiki/List_of_municipalities_in_Antalya_Province	Alanya	1126	Alanya	100004	/wiki/Antalya_Province	Antalya Province	TR611
/wiki/List_of_municipalities_in_Antalya_Province	Alanya	1126	Avsallar	100005	/wiki/Antalya_Province	Antalya Province	TR611
/wiki/List_of_municipalities_in_Antalya_Province	Alanya	1126	Cikcilli	100006	/wiki/Antalya_Province	Antalya Province	TR611
/wiki/List_of_municipalities_in_Antalya_Province	Alanya	1126	Çıplaklı	100007	/wiki/Antalya_Province	Antalya Province	TR611
/wiki/List_of_municipalities_in_Antalya_Province	Alanya	1126	Demirtaş	100008	/wiki/Antalya_Province	Antalya Province	TR611
/wiki/List_of_municipalities_in_Antalya_Province	Alanya	1126	Emişbeleni	100009	/wiki/Antalya_Province	Antalya Province	TR611
/wiki/List_of_municipalities_in_Antalya_Province	Alanya	1126	Güzelbağ	100010	/wiki/Antalya_Province	Antalya Province	TR611
/wiki/List_of_municipalities_in_Antalya_Province	Alanya	1126	İncekum	100011	/wiki/Antalya_Province	Antalya Province	TR611
/wiki/List_of_municipalities_in_Antalya_Province	Alanya	1126	Kargıcak	100012	/wiki/Antalya_Province	Antalya Province	TR611
/wiki/List_of_municipalities_in_Antalya_Province	Alanya	1126	Kestel	100013	/wiki/Antalya_Province	Antalya Province	TR611
/wiki/List_of_municipalities_in_Antalya_Province	Alanya	1126	Konaklı	100014	/wiki/Antalya_Province	Antalya Province	TR611
/wiki/List_of_municipalities_in_Antalya_Province	Alanya	1126	Mahmutlar	100015	/wiki/Antalya_Province	Antalya Province	TR611
/wiki/List_of_municipalities_in_Antalya_Province	Alanya	1126	Oba	100016	/wiki/Antalya_Province	Antalya Province	TR611
/wiki/List_of_municipalities_in_Antalya_Province	Alanya	1126	Okurcalar	100017	/wiki/Antalya_Province	Antalya Province	TR611
/wiki/List_of_municipalities_in_Antalya_Province	Alanya	1126	Payallar	100018	/wiki/Antalya_Province	Antalya Province	TR611
/wiki/List_of_municipalities_in_Antalya_Province	Alanya	1126	Tosmur	100019	/wiki/Antalya_Province	Antalya Province	TR611
/wiki/List_of_municipalities_in_Antalya_Province	Alanya	1126	Türkler	100020	/wiki/Antalya_Province	Antalya Province	TR611
/wiki/List_of_municipalities_in_Manisa_Province	Alaşehir	1127	Alaşehir	100021	/wiki/Manisa_Province	Manisa Province	TR331
/wiki/List_of_municipalities_in_Manisa_Province	Alaşehir	1127	Kavaklıdere	100022	/wiki/Manisa_Province	Manisa Province	TR331
/wiki/List_of_municipalities_in_Manisa_Province	Alaşehir	1127	Kemaliye	100023	/wiki/Manisa_Province	Manisa Province	TR331
/wiki/List_of_municipalities_in_Manisa_Province	Alaşehir	1127	Killik	100024	/wiki/Manisa_Province	Manisa Province	TR331
/wiki/List_of_municipalities_in_Manisa_Province	Alaşehir	1127	Piyadeler	100025	/wiki/Manisa_Province	Manisa Province	TR331
/wiki/List_of_municipalities_in_Manisa_Province	Alaşehir	1127	Uluderbent	100026	/wiki/Manisa_Province	Manisa Province	TR331
/wiki/List_of_municipalities_in_Manisa_Province	Alaşehir	1127	Yeşilyurt	100027	/wiki/Manisa_Province	Manisa Province	TR331
/wiki/List_of_municipalities_in_%C4%B0zmir_Province	Aliağa	1128	Aliağa	100028	/wiki/%C4%B0zmir_Province	İzmir Province	TR310
/wiki/List_of_municipalities_in_%C4%B0zmir_Province	Aliağa	1128	Helvacı	100029	/wiki/%C4%B0zmir_Province	İzmir Province	TR310
/wiki/List_of_municipalities_in_%C4%B0zmir_Province	Aliağa	1128	Yenişakran	100030	/wiki/%C4%B0zmir_Province	İzmir Province	TR310
/wiki/List_of_municipalities_in_Tokat_Province	Almus	1129	Akarçay	100031	/wiki/Tokat_Province	Tokat Province	TR832
/wiki/List_of_municipalities_in_Tokat_Province	Almus	1129	Almus	100032	/wiki/Tokat_Province	Tokat Province	TR832
/wiki/List_of_municipalities_in_Tokat_Province	Almus	1129	Ataköy	100033	/wiki/Tokat_Province	Tokat Province	TR832
/wiki/List_of_municipalities_in_Tokat_Province	Almus	1129	Bağtaşı	100034	/wiki/Tokat_Province	Tokat Province	TR832
/wiki/List_of_municipalities_in_Tokat_Province	Almus	1129	Cihet	100035	/wiki/Tokat_Province	Tokat Province	TR832
/wiki/List_of_municipalities_in_Tokat_Province	Almus	1129	Çevreli	100036	/wiki/Tokat_Province	Tokat Province	TR832
/wiki/List_of_municipalities_in_Tokat_Province	Almus	1129	Dikili	100037	/wiki/Tokat_Province	Tokat Province	TR832
/wiki/List_of_municipalities_in_Tokat_Province	Almus	1129	Gölgeli	100038	/wiki/Tokat_Province	Tokat Province	TR832
/wiki/List_of_municipalities_in_Tokat_Province	Almus	1129	Görümlü	100039	/wiki/Tokat_Province	Tokat Province	TR832
/wiki/List_of_municipalities_in_Tokat_Province	Almus	1129	Kınık	100040	/wiki/Tokat_Province	Tokat Province	TR832
/wiki/List_of_municipalities_in_Tokat_Province	Almus	1129	Ormandibi	100041	/wiki/Tokat_Province	Tokat Province	TR832
/wiki/List_of_municipalities_in_Hatay_Province	Altınözü	1131	Altınkaya	100042	/wiki/Hatay_Province	Hatay Province	TR631
/wiki/List_of_municipalities_in_Hatay_Province	Altınözü	1131	Hacıpaşa	100043	/wiki/Hatay_Province	Hatay Province	TR631
/wiki/List_of_municipalities_in_Hatay_Province	Altınözü	1131	Yiğityolu	100044	/wiki/Hatay_Province	Hatay Province	TR631
/wiki/List_of_municipalities_in_K%C3%BCtahya_Province	Altıntaş	1132	Altıntaş	100045	/wiki/K%C3%BCtahya_Province	Kütahya Province	TR333
/wiki/List_of_municipalities_in_K%C3%BCtahya_Province	Altıntaş	1132	Çayırbaşı	100046	/wiki/K%C3%BCtahya_Province	Kütahya Province	TR333
/wiki/List_of_municipalities_in_K%C3%BCtahya_Province	Altıntaş	1132	Zafertepeçalköy	100047	/wiki/K%C3%BCtahya_Province	Kütahya Province	TR333
/wiki/List_of_municipalities_in_Giresun_Province	Alucra	1133	Alucra	100048	/wiki/Giresun_Province	Giresun Province	TR903
/wiki/List_of_municipalities_in_Kahramanmara%C5%9F_Province	Andırın	1136	Geben	100049	/wiki/Kahramanmara%C5%9F_Province	Kahramanmaraş Province	TR632
/wiki/List_of_municipalities_in_Kahramanmara%C5%9F_Province	Andırın	1136	Yeşilova	100050	/wiki/Kahramanmara%C5%9F_Province	Kahramanmaraş Province	TR632
/wiki/List_of_municipalities_in_Gaziantep_Province	Araban	1139	Elif	100051	/wiki/Gaziantep_Province	Gaziantep Province	TRC11
/wiki/List_of_municipalities_in_Kastamonu_Province	Araç	1140	Araç	100052	/wiki/Kastamonu_Province	Kastamonu Province	TR821
/wiki/List_of_municipalities_in_Trabzon_Province	Araklı	1141	Araklı	100053	/wiki/Trabzon_Province	Trabzon Province	TR901
/wiki/List_of_municipalities_in_Trabzon_Province	Araklı	1141	Çankaya	100054	/wiki/Trabzon_Province	Trabzon Province	TR901
/wiki/List_of_municipalities_in_Trabzon_Province	Araklı	1141	Erenler	100055	/wiki/Trabzon_Province	Trabzon Province	TR901
/wiki/List_of_municipalities_in_Trabzon_Province	Araklı	1141	Yeşilyurt	100056	/wiki/Trabzon_Province	Trabzon Province	TR901
/wiki/List_of_municipalities_in_I%C4%9Fd%C4%B1r_Province	Aralık	1142	Aralık	100057	/wiki/I%C4%9Fd%C4%B1r_Province	Iğdır Province	TRA23
/wiki/List_of_municipalities_in_Malatya_Province	Arapkir	1143	Arapkir	100058	/wiki/Malatya_Province	Malatya Province	TRB11
/wiki/List_of_municipalities_in_Artvin_Province	Ardanuç	1145	Ardanuç	100059	/wiki/Artvin_Province	Artvin Province	TR905
/wiki/List_of_municipalities_in_Rize_Province	Ardeşen	1146	Ardeşen	100060	/wiki/Rize_Province	Rize Province	TR904
/wiki/List_of_municipalities_in_Rize_Province	Ardeşen	1146	Tunca	100061	/wiki/Rize_Province	Rize Province	TR904
/wiki/List_of_municipalities_in_Artvin_Province	Arhavi	1147	Arhavi	100062	/wiki/Artvin_Province	Artvin Province	TR905
/wiki/List_of_municipalities_in_Malatya_Province	Arguvan	1148	Arguvan	100063	/wiki/Malatya_Province	Malatya Province	TRB11
/wiki/List_of_municipalities_in_Kars_Province	Arpaçay	1149	Arpaçay	100064	/wiki/Kars_Province	Kars Province	TRA22
/wiki/List_of_municipalities_in_Kars_Province	Arpaçay	1149	Koçköy	100065	/wiki/Kars_Province	Kars Province	TRA22
/wiki/List_of_municipalities_in_Trabzon_Province	Arsin	1150	Arsin	100066	/wiki/Trabzon_Province	Trabzon Province	TR901
/wiki/List_of_municipalities_in_Trabzon_Province	Arsin	1150	Atayurt	100067	/wiki/Trabzon_Province	Trabzon Province	TR901
/wiki/List_of_municipalities_in_Trabzon_Province	Arsin	1150	Fındıklı	100068	/wiki/Trabzon_Province	Trabzon Province	TR901
/wiki/List_of_municipalities_in_Trabzon_Province	Arsin	1150	Yeşilyalı	100069	/wiki/Trabzon_Province	Trabzon Province	TR901
/wiki/List_of_municipalities_in_Tokat_Province	Artova	1151	Artova	100070	/wiki/Tokat_Province	Tokat Province	TR832
/wiki/List_of_municipalities_in_Tokat_Province	Artova	1151	Çelikli	100071	/wiki/Tokat_Province	Tokat Province	TR832
/wiki/List_of_municipalities_in_Erzurum_Province	Aşkale	1153	Aşkale	100072	/wiki/Erzurum_Province	Erzurum Province	TRA11
/wiki/List_of_municipalities_in_Erzurum_Province	Aşkale	1153	Kandilli	100073	/wiki/Erzurum_Province	Erzurum Province	TRA11
/wiki/List_of_municipalities_in_Erzurum_Province	Aşkale	1153	Yeniköy	100074	/wiki/Erzurum_Province	Erzurum Province	TRA11
/wiki/List_of_municipalities_in_Isparta_Province	Atabey	1154	Atabey	100075	/wiki/Isparta_Province	Isparta Province	TR612
/wiki/List_of_municipalities_in_Isparta_Province	Atabey	1154	İslamköy	100076	/wiki/Isparta_Province	Isparta Province	TR612
/wiki/List_of_municipalities_in_Sinop_Province	Ayancık	1156	Ayancık	100077	/wiki/Sinop_Province	Sinop Province	TR823
/wiki/List_of_municipalities_in_Ordu_Province	Aybastı	1158	Alacalar	100078	/wiki/Ordu_Province	Ordu Province	TR902
/wiki/List_of_municipalities_in_Ordu_Province	Aybastı	1158	Aybastı	100079	/wiki/Ordu_Province	Ordu Province	TR902
/wiki/List_of_municipalities_in_Ordu_Province	Aybastı	1158	Çakırlı	100080	/wiki/Ordu_Province	Ordu Province	TR902
/wiki/List_of_municipalities_in_Ordu_Province	Aybastı	1158	Pelitözü	100081	/wiki/Ordu_Province	Ordu Province	TR902
/wiki/List_of_municipalities_in_%C3%87anakkale_Province	Ayvacık	1160	Ayvacık	100082	/wiki/%C3%87anakkale_Province	Çanakkale Province	TR222
/wiki/List_of_municipalities_in_%C3%87anakkale_Province	Ayvacık	1160	Gülpınar	100083	/wiki/%C3%87anakkale_Province	Çanakkale Province	TR222
/wiki/List_of_municipalities_in_%C3%87anakkale_Province	Ayvacık	1160	Küçükkuyu	100084	/wiki/%C3%87anakkale_Province	Çanakkale Province	TR222
/wiki/List_of_municipalities_in_Samsun_Province	Ayvacık	1160	Ayvacık	100085	/wiki/Samsun_Province	Samsun Province	TR831
/wiki/List_of_municipalities_in_Bal%C4%B1kesir_Province	Ayvalık	1161	Altınova	100086	/wiki/Bal%C4%B1kesir_Province	Balıkesir Province	TR221
/wiki/List_of_municipalities_in_Bal%C4%B1kesir_Province	Ayvalık	1161	Ayvalık	100087	/wiki/Bal%C4%B1kesir_Province	Balıkesir Province	TR221
/wiki/List_of_municipalities_in_Bal%C4%B1kesir_Province	Ayvalık	1161	Küçükköy	100088	/wiki/Bal%C4%B1kesir_Province	Balıkesir Province	TR221
/wiki/List_of_municipalities_in_Kastamonu_Province	Azdavay	1162	Azdavay	100089	/wiki/Kastamonu_Province	Kastamonu Province	TR821
/wiki/List_of_municipalities_in_K%C4%B1rklareli_Province	Babaeski	1163	Karahalil	100090	/wiki/K%C4%B1rklareli_Province	Kırklareli Province	TR213
/wiki/List_of_municipalities_in_K%C4%B1rklareli_Province	Babaeski	1163	Sinanlı	100091	/wiki/K%C4%B1rklareli_Province	Kırklareli Province	TR213
/wiki/List_of_municipalities_in_Samsun_Province	Bafra	1164	Bafra	100092	/wiki/Samsun_Province	Samsun Province	TR831
/wiki/List_of_municipalities_in_Samsun_Province	Bafra	1164	Çetinkaya	100093	/wiki/Samsun_Province	Samsun Province	TR831
/wiki/List_of_municipalities_in_Samsun_Province	Bafra	1164	Doğanca	100094	/wiki/Samsun_Province	Samsun Province	TR831
/wiki/List_of_municipalities_in_Samsun_Province	Bafra	1164	İkizpınar	100095	/wiki/Samsun_Province	Samsun Province	TR831
/wiki/List_of_municipalities_in_Samsun_Province	Bafra	1164	Kolay	100096	/wiki/Samsun_Province	Samsun Province	TR831
/wiki/List_of_municipalities_in_Osmaniye_Province	Bahçe	1165	Bahçe	100097	/wiki/Osmaniye_Province	Osmaniye Province	TR633
/wiki/List_of_municipalities_in_%C4%B0stanbul_Province	Bakırköy	1166	Bakırköy	100098	/wiki/%C4%B0stanbul_Province	İstanbul Province	TR100
